DATE,COMPU1USA
2003-07-01,1424
2003-08-01,1329
2003-09-01,1413
2003-10-01,1479
2003-11-01,1439
2003-12-01,1434
2004-01-01,1434
2004-02-01,1447
2004-03-01,1491
2004-04-01,1645
2004-05-01,1505
2004-06-01,1521
2004-07-01,1546
2004-08-01,1554
2004-09-01,1533
2004-10-01,1539
2004-11-01,1464
2004-12-01,1655
2005-01-01,1589
2005-02-01,1608
2005-03-01,1524
2005-04-01,1626
2005-05-01,1750
2005-06-01,1679
2005-07-01,1639
2005-08-01,1649
2005-09-01,1631
2005-10-01,1618
2005-11-01,1633
2005-12-01,1662
2006-01-01,1663
2006-02-01,1742
2006-03-01,1911
2006-04-01,1737
2006-05-01,1609
2006-06-01,1742
2006-07-01,1654
2006-08-01,1614
2006-09-01,1675
2006-10-01,1559
2006-11-01,1525
2006-12-01,1509
2007-01-01,1501
2007-02-01,1318
2007-03-01,1312
2007-04-01,1276
2007-05-01,1278
2007-06-01,1220
2007-07-01,1208
2007-08-01,1241
2007-09-01,1085
2007-10-01,1138
2007-11-01,1128
2007-12-01,1031
2008-01-01,1004
2008-02-01,930
2008-03-01,904
2008-04-01,795
2008-05-01,879
2008-06-01,850
2008-07-01,831
2008-08-01,712
2008-09-01,820
2008-10-01,749
2008-11-01,754
2008-12-01,686
2009-01-01,566
2009-02-01,535
2009-03-01,545
2009-04-01,532
2009-05-01,492
2009-06-01,507
2009-07-01,500
2009-08-01,517
2009-09-01,481
2009-10-01,526
2009-11-01,567
2009-12-01,493
2010-01-01,448
2010-02-01,456
2010-03-01,491
2010-04-01,556
2010-05-01,518
2010-06-01,684
2010-07-01,470
2010-08-01,473
2010-09-01,484
2010-10-01,479
2010-11-01,432
2010-12-01,454
2011-01-01,423
2011-02-01,481
2011-03-01,368
2011-04-01,433
2011-05-01,443
2011-06-01,453
2011-07-01,488
2011-08-01,479
2011-09-01,426
2011-10-01,438
2011-11-01,462
2011-12-01,462
2012-01-01,392
2012-02-01,421
2012-03-01,434
2012-04-01,494
2012-05-01,475
2012-06-01,482
2012-07-01,474
2012-08-01,492
2012-09-01,512
2012-10-01,525
2012-11-01,513
2012-12-01,525
2013-01-01,556.0
2013-02-01,578.0
2013-03-01,604.0
2013-04-01,524.0
2013-05-01,549.0
2013-06-01,532.0
2013-07-01,578.0
2013-08-01,571
2013-09-01,577.0
2013-10-01,604.0
2013-11-01,601.0
2013-12-01,560.0
2014-01-01,597.0
2014-02-01,629.0
2014-03-01,629.0
2014-04-01,598.0
2014-05-01,622.0
2014-06-01,581.0
2014-07-01,630.0
2014-08-01,607.0
2014-09-01,642.0
2014-10-01,618.0
2014-11-01,620.0
2014-12-01,660.0
2015-01-01,658.0
2015-02-01,601.0
2015-03-01,577.0
2015-04-01,688.0
2015-05-01,641.0
2015-06-01,634.0
2015-07-01,637.0
2015-08-01,659.0
2015-09-01,663.0
2015-10-01,645.0
2015-11-01,649.0
2015-12-01,709.0
2016-01-01,671.0
2016-02-01,734.0
2016-03-01,708.0
2016-04-01,706.0
2016-05-01,721.0
2016-06-01,754.0
2016-07-01,742.0
2016-08-01,745.0
2016-09-01,739.0
2016-10-01,766.0
2016-11-01,790.0
2016-12-01,772.0
2017-01-01,790.0
2017-02-01,744.0
2017-03-01,780.0
2017-04-01,765.0
2017-05-01,800.0
2017-06-01,810.0
2017-07-01,841.0
2017-08-01,746.0
2017-09-01,794.0
2017-10-01,815.0
2017-11-01,808.0
2017-12-01,845.0
2018-01-01,850.0
2018-02-01,863.0
2018-03-01,831.0
2018-04-01,780.0
2018-05-01,886.0
2018-06-01,855.0
2018-07-01,811.0
2018-08-01,953.0
2018-09-01,855.0
2018-10-01,841.0
2018-11-01,802.0
2018-12-01,772.0
2019-01-01,918.0
2019-02-01,798.0
2019-03-01,927.0
2019-04-01,920.0
2019-05-01,887.0
2019-06-01,878.0
2019-07-01,900.0
2019-08-01,949.0
2019-09-01,868.0
2019-10-01,953.0
2019-11-01,946.0
2019-12-01,907.0
2020-01-01,885.0
2020-02-01,963.0
2020-03-01,881.0
2020-04-01,876.0
2020-05-01,827.0
2020-06-01,933.0
2020-07-01,949.0
2020-08-01,903.0
2020-09-01,927.0
2020-10-01,916.0
2020-11-01,926.0
2020-12-01,951.0
2021-01-01,1022.0
2021-02-01,981.0
2021-03-01,1004.0
2021-04-01,1004.0
2021-05-01,958.0
2021-06-01,917.0
2021-07-01,948.0
2021-08-01,952.0
2021-09-01,937.0
2021-10-01,944.0
2021-11-01,954.0
2021-12-01,1021.0
2022-01-01,932.0
2022-02-01,1059.0
2022-03-01,1047.0
2022-04-01,1024.0
2022-05-01,1043.0
2022-06-01,1009.0
2022-07-01,1004.0
2022-08-01,1020.0
2022-09-01,1048.0
2022-10-01,974.0
2022-11-01,1102.0
2022-12-01,995.0
2023-01-01,1018.0
2023-02-01,1029.0
2023-03-01,1035.0
2023-04-01,979.0
2023-05-01,1007.0
2023-06-01,1008.0
2023-07-01,1018.0
