DATE,HOUSTSFLAA1FQ
2003-07-01,2334
2003-10-01,2357
2004-01-01,2365
2004-04-01,2370
2004-07-01,2375
2004-10-01,2421
2005-01-01,2482
2005-04-01,2444
2005-07-01,2458
2005-10-01,2471
2006-01-01,2501
2006-04-01,2490
2006-07-01,2468
2006-10-01,2523
2007-01-01,2528
2007-04-01,2507
2007-07-01,2494
2007-10-01,2539
2008-01-01,2510
2008-04-01,2533
2008-07-01,2372
2008-10-01,2413
2009-01-01,2381
2009-04-01,2380
2009-07-01,2341
2009-10-01,2400
2010-01-01,2362
2010-04-01,2399
2010-07-01,2385
2010-10-01,2408
2011-01-01,2523
2011-04-01,2531
2011-07-01,2484
2011-10-01,2532
2012-01-01,2546
2012-04-01,2494
2012-07-01,2487
2012-10-01,2572
2013-01-01,2689
2013-04-01,2646
2013-07-01,2701
2013-10-01,2656
2014-01-01,2727
2014-04-01,2651
2014-07-01,2647
2014-10-01,2677
2015-01-01,2736
2015-04-01,2704
2015-07-01,2649
2015-10-01,2674
2016-01-01,2658
2016-04-01,2620
2016-07-01,2593
2016-10-01,2652
2017-01-01,2628
2017-04-01,2618
2017-07-01,2576
2017-10-01,2573
2018-01-01,2639.0
2018-04-01,2551.0
2018-07-01,2495.0
2018-10-01,2576.0
2019-01-01,2577.0
2019-04-01,2468.0
2019-07-01,2465.0
2019-10-01,2509.0
2020-01-01,2497.0
2020-04-01,2457.0
2020-07-01,2479.0
2020-10-01,2473.0
2021-01-01,2516.0
2021-04-01,2540.0
2021-07-01,2530.0
2021-10-01,2565.0
2022-01-01,2515.0
2022-04-01,2496.0
2022-07-01,2512.0
2022-10-01,2468.0
2023-01-01,2464.0
2023-04-01,2405.0
2023-07-01,2430.0
