DATE,HSN1F
2003-07-01,1168
2003-08-01,1206
2003-09-01,1131
2003-10-01,1144
2003-11-01,1093
2003-12-01,1129
2004-01-01,1165
2004-02-01,1159
2004-03-01,1276
2004-04-01,1186
2004-05-01,1241
2004-06-01,1180
2004-07-01,1088
2004-08-01,1175
2004-09-01,1214
2004-10-01,1305
2004-11-01,1179
2004-12-01,1242
2005-01-01,1203
2005-02-01,1319
2005-03-01,1328
2005-04-01,1260
2005-05-01,1286
2005-06-01,1274
2005-07-01,1389
2005-08-01,1255
2005-09-01,1244
2005-10-01,1336
2005-11-01,1214
2005-12-01,1239
2006-01-01,1174
2006-02-01,1061
2006-03-01,1116
2006-04-01,1123
2006-05-01,1086
2006-06-01,1074
2006-07-01,965
2006-08-01,1035
2006-09-01,1016
2006-10-01,941
2006-11-01,1003
2006-12-01,998
2007-01-01,891
2007-02-01,828
2007-03-01,833
2007-04-01,887
2007-05-01,842
2007-06-01,793
2007-07-01,778
2007-08-01,699
2007-09-01,686
2007-10-01,727
2007-11-01,641
2007-12-01,619
2008-01-01,627
2008-02-01,593
2008-03-01,535
2008-04-01,536
2008-05-01,504
2008-06-01,487
2008-07-01,477
2008-08-01,435
2008-09-01,433
2008-10-01,393
2008-11-01,389
2008-12-01,377
2009-01-01,336
2009-02-01,372
2009-03-01,339
2009-04-01,337
2009-05-01,376
2009-06-01,393
2009-07-01,411
2009-08-01,418
2009-09-01,386
2009-10-01,396
2009-11-01,375
2009-12-01,352
2010-01-01,345
2010-02-01,336
2010-03-01,381
2010-04-01,422
2010-05-01,280
2010-06-01,305
2010-07-01,283
2010-08-01,282
2010-09-01,317
2010-10-01,291
2010-11-01,287
2010-12-01,326
2011-01-01,307
2011-02-01,270
2011-03-01,300
2011-04-01,310
2011-05-01,305
2011-06-01,301
2011-07-01,296
2011-08-01,299
2011-09-01,304
2011-10-01,316
2011-11-01,328
2011-12-01,341
2012-01-01,335
2012-02-01,366
2012-03-01,354
2012-04-01,354
2012-05-01,370
2012-06-01,360
2012-07-01,369
2012-08-01,375
2012-09-01,385
2012-10-01,358
2012-11-01,392
2012-12-01,399
2013-01-01,446.0
2013-02-01,447.0
2013-03-01,444.0
2013-04-01,441.0
2013-05-01,428.0
2013-06-01,470.0
2013-07-01,375.0
2013-08-01,381.0
2013-09-01,403.0
2013-10-01,444
2013-11-01,446
2013-12-01,433.0
2014-01-01,443.0
2014-02-01,420.0
2014-03-01,405.0
2014-04-01,403.0
2014-05-01,451.0
2014-06-01,418.0
2014-07-01,402
2014-08-01,456.0
2014-09-01,470.0
2014-10-01,476.0
2014-11-01,442.0
2014-12-01,497.0
2015-01-01,515.0
2015-02-01,540.0
2015-03-01,480.0
2015-04-01,502.0
2015-05-01,502.0
2015-06-01,480.0
2015-07-01,506.0
2015-08-01,518.0
2015-09-01,456.0
2015-10-01,482.0
2015-11-01,504.0
2015-12-01,546.0
2016-01-01,505
2016-02-01,517
2016-03-01,532
2016-04-01,576
2016-05-01,571
2016-06-01,557
2016-07-01,628
2016-08-01,575
2016-09-01,558
2016-10-01,575
2016-11-01,571.0
2016-12-01,561.0
2017-01-01,573
2017-02-01,587
2017-03-01,632
2017-04-01,598
2017-05-01,635
2017-06-01,619
2017-07-01,572
2017-08-01,556
2017-09-01,637
2017-10-01,626
2017-11-01,711
2017-12-01,630
2018-01-01,590
2018-02-01,618
2018-03-01,679
2018-04-01,642
2018-05-01,662
2018-06-01,636
2018-07-01,628
2018-08-01,593
2018-09-01,595
2018-10-01,554
2018-11-01,625
2018-12-01,546
2019-01-01,591
2019-02-01,638
2019-03-01,705
2019-04-01,695
2019-05-01,602
2019-06-01,763
2019-07-01,669
2019-08-01,720
2019-09-01,715
2019-10-01,721
2019-11-01,710
2019-12-01,693
2020-01-01,685
2020-02-01,699
2020-03-01,609
2020-04-01,569
2020-05-01,696
2020-06-01,936
2020-07-01,1019
2020-08-01,1029
2020-09-01,988
2020-10-01,1027
2020-11-01,863
2020-12-01,873
2021-01-01,901
2021-02-01,765
2021-03-01,850
2021-04-01,810
2021-05-01,715
2021-06-01,716
2021-07-01,760
2021-08-01,690
2021-09-01,742
2021-10-01,680
2021-11-01,772
2021-12-01,830
2022-01-01,810
2022-02-01,773
2022-03-01,707
2022-04-01,611
2022-05-01,636
2022-06-01,563
2022-07-01,543
2022-08-01,638
2022-09-01,567
2022-10-01,577
2022-11-01,582
2022-12-01,636
2023-01-01,649
2023-02-01,625
2023-03-01,640
2023-04-01,679
2023-05-01,710
2023-06-01,683
2023-07-01,736
